indicator,age_category,max_1,score_1,max_2,score_2,max_3,score_3,max_4,score_4,max_5,score_5,max_6,score_6,max_7,score_7,max_8,score_8
awakenings_gt5min_per_night,toddlers,0,2,1,2,2,1,3,1,4,0,NaN,0,,,,
awakenings_gt5min_per_night,pre_schoolers,0,2,1,2,2,1,3,1,4,0,NaN,0,,,,
awakenings_gt5min_per_night,school_aged_children,0,2,1,2,2,1,3,1,4,0,NaN,0,,,,
awakenings_gt5min_per_night,teens,0,2,1,2,2,1,3,0,4,0,NaN,0,,,,
awakenings_gt5min_per_night,young_adults,0,2,1,2,2,1,3,1,4,0,NaN,0,,,,
awakenings_gt5min_per_night,adults,0,2,1,2,2,1,3,1,4,0,NaN,0,,,,
awakenings_gt5min_per_night,older_adults,0,2,1,2,2,2,3,1,4,0,NaN,0,,,,

wake_after_sleep_onset_mins,pre_schoolers,10,2,20,2,30,1,40,1,50,1,60,0,NaN,0,,
wake_after_sleep_onset_mins,school_aged_children,10,2,20,2,30,1,40,1,50,0,60,0,NaN,0,,
wake_after_sleep_onset_mins,teens,10,2,20,2,30,1,40,1,50,1,60,0,NaN,0,,
wake_after_sleep_onset_mins,young_adults,10,2,20,2,30,1,40,1,50,0,60,0,NaN,0,,
wake_after_sleep_onset_mins,adults,10,2,20,2,30,1,40,1,50,0,60,0,NaN,0,,
wake_after_sleep_onset_mins,older_adults,10,2,20,2,30,2,40,1,50,1,60,1,NaN,1,,

rem_activity_percent,newborns,10,0,20,0,30,1,40,1,NaN,2,,,,,,
rem_activity_percent,infants,10,0,20,1,30,1,40,1,NaN,1,,,,,,
rem_activity_percent,toddlers,10,0,20,1,30,1,40,1,NaN,1,,,,,,
rem_activity_percent,pre_schoolers,10,0,20,1,30,1,40,1,NaN,1,,,,,,
rem_activity_percent,school_aged_children,10,1,20,1,30,1,40,1,NaN,1,,,,,,
rem_activity_percent,teens,10,0,20,1,30,1,40,1,NaN,1,,,,,,
rem_activity_percent,young_adults,10,1,20,1,30,1,40,1,NaN,0,,,,,,
rem_activity_percent,adults,10,1,20,1,30,2,40,1,NaN,0,,,,,,
rem_activity_percent,older_adults,10,1,20,1,30,1,40,1,NaN,0,,,,,,

light_sleep_percent,toddlers,20,1,40,1,60,1,80,1,NaN,0,,,,,,
light_sleep_percent,pre_schoolers,20,1,40,1,60,1,80,1,NaN,0,,,,,,
light_sleep_percent,school_aged_children,20,1,40,1,60,1,80,1,NaN,0,,,,,,
light_sleep_percent,teens,20,1,40,1,60,1,80,1,NaN,0,,,,,,
light_sleep_percent,young_adults,20,1,40,1,60,1,80,1,NaN,0,,,,,,
light_sleep_percent,adults,20,1,40,1,60,1,80,1,NaN,0,,,,,,
light_sleep_percent,older_adults,20,1,40,1,60,1,80,1,NaN,0,,,,,,

deep_sleep_percent,infants,5,0,10,0,15,1,20,1,25,1,NaN,1,,,,
deep_sleep_percent,toddlers,5,0,10,0,15,1,20,1,25,1,NaN,1,,,,
deep_sleep_percent,pre_schoolers,5,0,10,0,15,1,20,1,25,1,NaN,1,,,,
deep_sleep_percent,school_aged_children,5,0,10,0,15,1,20,1,25,2,NaN,1,,,,
deep_sleep_percent,teens,5,0,10,1,15,1,20,1,25,2,NaN,1,,,,
deep_sleep_percent,young_adults,5,0,10,1,15,1,20,1,25,1,NaN,1,,,,
deep_sleep_percent,adults,5,0,10,1,15,1,20,2,25,1,NaN,1,,,,
deep_sleep_percent,older_adults,5,1,10,1,15,1,20,1,25,1,NaN,1,,,,

sleep_time,newborns,11,0,13,1,17,2,19,1,NaN,0,,,,,,
sleep_time,infants,10,0,11,1,15,2,18,1,NaN,0,,,,,,
sleep_time,toddlers,9,0,10,1,14,2,16,1,NaN,0,,,,,,
sleep_time,pre_schoolers,8,0,9,1,13,2,14,1,NaN,0,,,,,,
sleep_time,school_aged_children,7,0,8,1,11,2,12,1,NaN,0,,,,,,
sleep_time,teens,7,0,7,1,10,2,11,1,NaN,0,,,,,,
sleep_time,young_adults,6,0,6,1,9,2,11,1,NaN,0,,,,,,
sleep_time,adults,6,0,6,1,9,2,10,1,NaN,0,,,,,,
sleep_time,older_adults,5,0,6,1,8,2,9,1,NaN,0,,,,,,
